,PDBID,pK
2481,2gv6,7.34
2482,2vvs,7.34
2483,2ydw,7.34
2484,3f7i,7.34
2485,4mnp,7.34
2486,1qkb,7.35
2487,1ttm,7.35
2488,3rtf,7.35
2489,3s6t,7.35
2490,3su2,7.35
2491,3zdh,7.35
2492,1k6p,7.36
2493,1swg,7.36
2494,4ca7,7.36
2495,4gu6,7.36
2496,4q6d,7.36
2497,1b51,7.37
2498,1cnx,7.37
2499,1fao,7.37
2500,3dp4,7.37
2501,3f7g,7.37
2502,3m5e,7.37
2503,1bxq,7.38
2504,1qf0,7.38
2505,2qi0,7.38
2506,4hfp,7.38
2507,4o07,7.38
2508,1d3p,7.39
2509,2hzy,7.39
2510,3mna,7.39
2511,3p5l,7.39
2512,4na9,7.39
2513,1b55,7.40
2514,1drj,7.40
2515,1f8c,7.40
2516,1k1m,7.40
2517,1oar,7.40
2518,1owh,7.40
2519,1r6n,7.40
2520,1zoe,7.40
2521,2bpy,7.40
2522,2i3h,7.40
2523,2zy1,7.40
2524,3f18,7.40
2525,3re4,7.40
2526,3rlq,7.40
2527,3up2,7.40
2528,3vha,7.40
2529,3zi0,7.40
2530,4jyt,7.40
2531,4jzi,7.40
2532,4kn0,7.40
2533,1ik4,7.41
2534,2q2a,7.41
2535,3s5y,7.41
2536,3zns,7.41
2537,4j21,7.41
2538,4p5z,7.41
2539,4qpl,7.41
2540,1q5k,7.42
2541,1t32,7.42
2542,2pou,7.42
2543,2xys,7.42
2544,3ryy,7.42
2545,3zm9,7.42
2546,1b5j,7.43
2547,2bak,7.43
2548,2isw,7.43
2549,3mmf,7.43
2550,4o05,7.43
2551,4qgd,7.43
2552,1ciz,7.44
2553,1qb9,7.44
2554,1vzq,7.44
2555,2f7o,7.44
2556,2oxn,7.44
2557,2qbq,7.44
2558,2r38,7.44
2559,3znr,7.44
2560,4avj,7.44
2561,4m2v,7.44
2562,1n0s,7.45
2563,2ccb,7.45
2564,3u7m,7.45
2565,4azi,7.45
2566,1sqo,7.46
2567,1yei,7.46
2568,1yej,7.46
2569,2g71,7.46
2570,2p53,7.46
2571,3fed,7.46
2572,3ocz,7.46
2573,3t2w,7.46
2574,4cpr,7.46
2575,4dff,7.46
2576,4q4o,7.46
2577,1xh4,7.47
2578,3oe4,7.47
2579,3own,7.47
2580,5tmp,7.47
2581,1iiq,7.48
2582,1k6c,7.48
2583,1u71,7.48
2584,2qhy,7.48
2585,2qwe,7.48
2586,3l3l,7.48
2587,3u92,7.48
2588,2hhn,7.49
2589,3m6r,7.49
2590,3nyx,7.49
2591,4emr,7.49
2592,4l6t,7.49
2593,4cpw,7.50
2594,2vwo,7.51
2595,3n2v,7.51
2596,4hdp,7.51
2597,4qf8,7.51
2598,1bm7,7.52
2599,1ivp,7.52
2600,1lah,7.52
2601,1lf2,7.52
2602,1lke,7.52
2603,1mmq,7.52
2604,1uml,7.52
2605,1zfq,7.52
2606,2mas,7.52
2607,3ekr,7.52
2608,3hfb,7.52
2609,3hmo,7.52
2610,3l4u,7.52
2611,3myq,7.52
2612,3rlr,7.52
2613,4dq2,7.52
2614,4ty6,7.52
2615,2f1g,7.54
2616,4hu1,7.54
2617,4qer,7.54
2618,1k1j,7.55
2619,1lpk,7.55
2620,1tlp,7.55
2621,1v0l,7.55
2622,2oi0,7.55
2623,2xj1,7.55
2624,3b50,7.55
2625,3ni5,7.55
2626,3rz0,7.55
2627,4asj,7.55
2628,4ngn,7.55
2629,3cct,7.56
2630,3suf,7.56
2631,1d09,7.57
2632,1qhc,7.57
2633,2avs,7.57
2634,2pyn,7.57
2635,3cd0,7.57
2636,3ipq,7.57
2637,3ocp,7.57
2638,3q6w,7.57
2639,4fnn,7.57
2640,4nvp,7.57
2641,4pmm,7.57
2642,3cda,7.58
2643,2fdp,7.59
2644,2xb8,7.59
2645,3p3s,7.59
2646,3sap,7.59
2647,3t5u,7.59
2648,4cu7,7.59
2649,1lpz,7.60
2650,2c3i,7.60
2651,2o8h,7.60
2652,2zmm,7.60
2653,3ehx,7.60
2654,3fh7,7.60
2655,3gc4,7.60
2656,3iph,7.60
2657,3kr4,7.60
2658,3liw,7.60
2659,3p58,7.60
2660,4m8h,7.60
2661,4uyf,7.60
2662,1ftm,7.61
2663,3ibn,7.61
2664,4g95,7.61
2665,1fzq,7.62
2666,1k6t,7.62
2667,1yqy,7.62
2668,2aoe,7.62
2669,2p3c,7.62
2670,2psu,7.62
2671,2pvl,7.62
2672,3be9,7.62
2673,3o4k,7.62
2674,4dbm,7.62
2675,1c1r,7.63
2676,4avi,7.63
2677,1c1v,7.64
2678,1uvt,7.64
2679,2hl4,7.64
2680,3d78,7.64
2681,3fat,7.64
2682,3h89,7.64
2683,3hl7,7.64
2684,3l0v,7.64
2685,3sjf,7.64
2686,4rpo,7.64
2687,966c,7.64
2688,1f0r,7.66
2689,1nny,7.66
2690,1ppk,7.66
2691,2cn0,7.66
2692,2yme,7.66
2693,4b74,7.66
2694,4e5w,7.66
2695,4gq4,7.66
2696,4oeu,7.66
2697,2bpv,7.67
2698,1o2q,7.68
2699,1t4v,7.68
2700,1w0z,7.68
2701,2arm,7.68
2702,2yln,7.68
2703,3f8c,7.68
2704,3miy,7.68
2705,4cpz,7.68
2706,4del,7.68
2707,1bai,7.70
2708,1fzm,7.70
2709,1gno,7.70
2710,1izh,7.70
2711,1mes,7.70
2712,1oau,7.70
2713,1oz0,7.70
2714,1s39,7.70
2715,1uou,7.70
2716,2d1o,7.70
2717,2hmu,7.70
2718,2hmv,7.70
2719,2ves,7.70
2720,2zjw,7.70
2721,3b7r,7.70
2722,3ewc,7.70
2723,3f3e,7.70
2724,3g0e,7.70
2725,3i51,7.70
2726,3p7i,7.70
2727,3th9,7.70
2728,4acc,7.70
2729,4cpt,7.70
2730,4e7r,7.70
2731,4fsl,7.70
2732,4o09,7.70
2733,4tmk,7.70
2734,3lk8,7.71
2735,4mmp,7.71
2736,1ajv,7.72
2737,1cnw,7.72
2738,1j4r,7.72
2739,1oif,7.72
2740,3el5,7.72
2741,3vjc,7.72
2742,4a4w,7.72
2743,4egk,7.72
2744,3ljg,7.73
2745,1f0s,7.74
2746,1j36,7.74
2747,1lee,7.74
2748,1nfu,7.74
2749,1qbo,7.74
2750,1rd4,7.74
2751,1sbg,7.74
2752,1txr,7.74
2753,1usn,7.74
2754,2v59,7.74
2755,3b7u,7.74
2756,3nb5,7.74
2757,3tvc,7.74
2758,4auj,7.74
2759,4i71,7.74
2760,4j22,7.74
2761,4pp5,7.74
2762,2ccc,7.76
2763,2zpk,7.76
2764,4hwp,7.76
2765,1xh9,7.77
2766,2g70,7.77
2767,2jh6,7.77
2768,2qm9,7.77
2769,3cyw,7.77
2770,3dsz,7.77
2771,3gm0,7.77
2772,3mi2,7.77
2773,3tzm,7.77
2774,3uw4,7.77
2775,4gzt,7.77
2776,4lov,7.77
2777,4rj8,7.77
2778,4w9o,7.77
2779,4kni,7.78
2780,4knn,7.78
2781,2zwz,7.79
2782,1u1b,7.80
2783,1v48,7.80
2784,1x8t,7.80
2785,2i19,7.80
2786,2ra0,7.80
2787,2wl0,7.80
2788,3agl,7.80
2789,3czv,7.80
2790,3qgy,7.80
2791,3ryj,7.80
2792,4j3l,7.80
2793,4n6z,7.80
2794,4qem,7.80
2795,4w9p,7.80
2796,4gr3,7.81
2797,1b6h,7.82
2798,1nf8,7.82
2799,1njs,7.82
2800,1nvs,7.82
2801,2cf9,7.82
2802,2j34,7.82
2803,2jg0,7.82
2804,2o4n,7.82
2805,2ptz,7.82
2806,2xbx,7.82
2807,2xjg,7.82
2808,3gcp,7.82
2809,3n2p,7.82
2810,3prs,7.82
2811,3vx3,7.82
2812,4k0y,7.82
2813,4pp3,7.82
2814,4gr8,7.83
2815,3cd7,7.84
2816,3ibl,7.84
2817,3n2u,7.84
2818,3ttn,7.84
2819,4gzp,7.84
2820,1a94,7.85
2821,1b8y,7.85
2822,1cny,7.85
2823,1laf,7.85
2824,1lbf,7.85
2825,1lst,7.85
2826,2fle,7.85
2827,2gv7,7.85
2828,3c84,7.85
2829,3dd8,7.85
2830,3sut,7.85
2831,3uw5,7.85
2832,4ieh,7.85
2833,4mc1,7.85
2834,4pcs,7.85
2835,4r76,7.85
2836,4rak,7.85
2837,3ccw,7.87
2838,1fzo,7.89
2839,1gj7,7.89
2840,1h2t,7.89
2841,2ylc,7.89
2842,2zn7,7.89
2843,3c56,7.89
2844,3hig,7.89
2845,3rz5,7.89
2846,4b5d,7.89
2847,4g8m,7.89
2848,4igt,7.89
2849,4m8e,7.89
2850,3cd5,7.90
2851,1ajx,7.91
2852,1b6j,7.92
2853,1zfk,7.92
2854,2jjb,7.92
2855,2ovv,7.92
2856,3d7z,7.92
2857,3eft,7.92
2858,3sbi,7.92
2859,4a6c,7.92
2860,4bcn,7.92
2861,4cws,7.92
2862,4hbm,7.92
2863,4hge,7.92
2864,4phu,7.92
2865,3daz,7.93
2866,2ewa,7.94
2867,3t85,7.95
2868,3u7n,7.95
2869,4b7j,7.95
2870,4bxk,7.95
2871,4knj,7.95
2872,1epo,7.96
2873,1g2k,7.96
2874,1hvh,7.96
2875,1o3f,7.96
2876,1qxl,7.96
2877,2e1w,7.96
2878,2p3a,7.96
2879,2qe4,7.96
2880,2x8z,7.96
2881,3a5y,7.96
2882,3bgq,7.96
2883,3ekw,7.96
2884,3iww,7.96
2885,3mhc,7.96
2886,3r4p,7.96
2887,3uuo,7.96
2888,4ap7,7.96
2889,4k3n,7.96
2890,4ngp,7.96
2891,4r59,7.96
2892,3oyq,7.99
2893,1a4k,8.00
2894,1b57,8.00
2895,1dqn,8.00
2896,1fkg,8.00
2897,1gaf,8.00
2898,1gai,8.00
2899,1qin,8.00
2900,1r0p,8.00
2901,1rmz,8.00
2902,1tkb,8.00
2903,1vyg,8.00
2904,1xws,8.00
2905,1ypg,8.00
2906,2e94,8.00
2907,2hah,8.00
2908,2vnt,8.00
2909,2vwn,8.00
2910,2xbw,8.00
2911,3b92,8.00
2912,3cyx,8.00
2913,3e92,8.00
2914,3fur,8.00
2915,3gkz,8.00
2916,3gvu,8.00
2917,3hs4,8.00
2918,3hx3,8.00
2919,3k97,8.00
2920,3oy0,8.00
2921,3sio,8.00
2922,3t0x,8.00
2923,3zcl,8.00
2924,4a6l,8.00
2925,4ehz,8.00
2926,4ht0,8.00
2927,4knm,8.00
2928,4mo8,8.00
2929,4o2c,8.00
2930,4o9v,8.00
2931,4poh,8.00
2932,1v7a,8.01
2933,2cc7,8.01
2934,3vje,8.01
2935,1b7h,8.02
2936,2cet,8.02
2937,4uye,8.02
2938,4elf,8.03
2939,4m2u,8.04
2940,5tmn,8.04
2941,1hih,8.05
2942,1vyf,8.05
2943,2b9a,8.05
2944,2bqv,8.05
2945,2jkh,8.05
2946,2xc4,8.05
2947,2xxt,8.05
2948,2y80,8.05
2949,3ag9,8.05
2950,3ml2,8.05
2951,3u8l,8.05
2952,4b8y,8.05
2953,4hdb,8.05
2954,4q19,8.05
2955,3dbu,8.06
2956,3vbd,8.07
2957,1siv,8.08
2958,3ifl,8.08
2959,2rkg,8.09
2960,2yfx,8.09
2961,3hub,8.09
2962,3tu7,8.09
2963,4elh,8.09
2964,4loy,8.09
2965,1erb,8.10
2966,1fzj,8.10
2967,1ghy,8.10
2968,1l6m,8.10
2969,1stc,8.10
2970,1ype,8.10
2971,2cf8,8.10
2972,2e9u,8.10
2973,2pvj,8.10
2974,2vvu,8.10
2975,3f15,8.10
2976,3kr8,8.10
2977,3nx7,8.10
2978,4poj,8.10
2979,1ndz,8.11
2980,1nvr,8.11
2981,2pq9,8.11
2982,3fv2,8.11
2983,4cp7,8.11
2984,4v01,8.11
2985,1o5r,8.12
2986,2yi0,8.12
2987,2yk1,8.13
2988,1g35,8.14
2989,1yqj,8.14
2990,3b4f,8.14
2991,3ljz,8.14
2992,3odu,8.14
2993,3ryx,8.14
2994,4buq,8.14
2995,4isi,8.14
2996,1fkh,8.15
2997,1w5v,8.15
2998,2d1n,8.15
2999,2fxu,8.15
3000,2jf4,8.15
3001,2q1q,8.15
3002,3bu1,8.15
3003,3d8w,8.15
3004,3i4b,8.15
3005,3nxq,8.15
3006,4eo8,8.15
3007,4loo,8.15
3008,4ly9,8.15
3009,3g08,8.16
3010,4elg,8.16
3011,3rz8,8.17
3012,2f80,8.18
3013,3l3n,8.18
3014,2r59,8.19
3015,3hit,8.19
3016,3roc,8.19
3017,4mc2,8.19
3018,2jds,8.20
3019,4gg7,8.20
3020,1efy,8.22
3021,1h1d,8.22
3022,1h1s,8.22
3023,1w11,8.22
3024,2vvv,8.22
3025,2zcs,8.22
3026,3d1y,8.22
3027,3l3m,8.22
3028,3le9,8.22
3029,3v5t,8.22
3030,3zbx,8.22
3031,4h3g,8.22
3032,4hym,8.22
3033,4lko,8.22
3034,3e5a,8.23
3035,3f16,8.23
3036,1ydb,8.24
3037,3hll,8.24
3038,1c1u,8.25
3039,1g4o,8.25
3040,1nvq,8.25
3041,2pbw,8.25
3042,3ug2,8.25
3043,2e2r,8.26
3044,1wuq,8.27
3045,2cbj,8.27
3046,3hek,8.27
3047,4cps,8.27
3048,4djy,8.27
3049,3tt4,8.28
3050,4oc2,8.28
3051,4oc3,8.28
3052,1a28,8.29
3053,4bj8,8.29
3054,1b6l,8.30
3055,1qbq,8.30
3056,1tom,8.30
3057,2cen,8.30
3058,2pvk,8.30
3059,2rd6,8.30
3060,2v7a,8.30
3061,2v95,8.30
3062,3fqe,8.30
3063,3gjw,8.30
3064,3hku,8.30
3065,3hvi,8.30
3066,3jy0,8.30
3067,3zps,8.30
3068,4afg,8.30
3069,4cwr,8.30
3070,4o0b,8.30
3071,3dc3,8.31
3072,2gj5,8.32
3073,2yi7,8.32
3074,4gih,8.32
3075,4jwk,8.32
3076,4pee,8.32
3077,1hwr,8.33
3078,1bzy,8.34
3079,2qci,8.34
3080,2xye,8.34
3081,3npc,8.34
3082,1h23,8.35
3083,2uwd,8.35
3084,3nu5,8.35
3085,4bf6,8.35
3086,1d4j,8.36
3087,3d83,8.36
3088,3kek,8.36
3089,3r7o,8.36
3090,4e6q,8.36
3091,2nmz,8.37
3092,3t1a,8.37
3093,4bao,8.37
3094,4v24,8.37
3095,1k21,8.38
3096,1mu6,8.38
3097,3qkd,8.38
3098,3zpu,8.38
3099,4a6b,8.38
3100,1lzq,8.39
3101,1aaq,8.40
3102,1fd0,8.40
3103,1fq5,8.40
3104,1fzk,8.40
3105,1k22,8.40
3106,1mtr,8.40
3107,1w5x,8.40
3108,1z1h,8.40
3109,1zpa,8.40
3110,2al5,8.40
3111,2baj,8.40
3112,2j95,8.40
3113,2ovy,8.40
3114,2qbp,8.40
3115,2uwl,8.40
3116,2vsl,8.40
3117,2y82,8.40
3118,2zda,8.40
3119,3b68,8.40
3120,3d0e,8.40
3121,3el9,8.40
3122,3qxv,8.40
3123,3str,8.40
3124,3sww,8.40
3125,3zxz,8.40
3126,4aoi,8.40
3127,4bck,8.40
3128,4nh7,8.40
3129,4ual,8.40
3130,1e4h,8.41
3131,1g48,8.41
3132,1i9p,8.41
3133,1i9q,8.41
3134,1w96,8.41
3135,1bwb,8.42
3136,1i9o,8.42
3137,4ksy,8.42
3138,2xbv,8.43
3139,2za5,8.43
3140,3nhi,8.43
3141,3u7s,8.43
3142,2vc9,8.44
3143,2xyf,8.44
3144,3kdd,8.46
3145,2oag,8.47
3146,3zln,8.47
3147,1i9l,8.48
3148,1i9m,8.48
3149,1w5y,8.48
3150,2hs1,8.48
3151,2p3b,8.48
3152,2r5p,8.48
3153,2uxz,8.48
3154,2yix,8.48
3155,3b1m,8.48
3156,3n3j,8.48
3157,1ec0,8.49
3158,2g5u,8.49
3159,2ihq,8.49
3160,3s45,8.49
3161,4hdf,8.49
3162,4m2r,8.49
3163,7upj,8.49
3164,2vh0,8.51
3165,3i25,8.51
3166,3u8j,8.51
3167,1fcy,8.52
3168,1i5r,8.52
3169,1nfx,8.52
3170,1rp7,8.52
3171,1xkk,8.52
3172,2boh,8.52
3173,2fvd,8.52
3174,2oc2,8.52
3175,2q64,8.52
3176,2qu6,8.52
3177,2vvc,8.52
3178,2vw5,8.52
3179,2wn9,8.52
3180,3hvh,8.52
3181,3hvk,8.52
3182,3lpi,8.52
3183,3ml5,8.52
3184,3suu,8.52
3185,3ttm,8.52
3186,4nh8,8.52
3187,4o6w,8.52
3188,4o97,8.52
3189,3kjd,8.54
3190,4hwo,8.54
3191,1hos,8.55
3192,1ppl,8.55
3193,2byr,8.55
3194,3ejp,8.55
3195,3v51,8.55
3196,1bgq,8.57
3197,1q1g,8.57
3198,2x4z,8.57
3199,3ejq,8.57
3200,3ejr,8.57
3201,3v7x,8.57
3202,4kmz,8.57
3203,3r5t,8.58
3204,2wky,8.59
3205,3ibi,8.59
3206,1bwa,8.60
3207,3b66,8.60
3208,3s43,8.60
3209,3sxf,8.60
3210,3t3u,8.60
3211,4efs,8.60
3212,4gj2,8.60
3213,4qf7,8.60
3214,4ban,8.61
3215,2cej,8.62
3216,3ryz,8.62
3217,4bf1,8.62
3218,4fcf,8.62
3219,4hf4,8.62
3220,4jx9,8.62
3221,3f17,8.63
3222,1g45,8.64
3223,1mue,8.64
3224,1r1j,8.64
3225,1t31,8.64
3226,2qry,8.64
3227,3hkw,8.64
3228,3s71,8.64
3229,4pft,8.64
3230,6std,8.64
3231,2oax,8.65
3232,1i9n,8.66
3233,3d1x,8.66
3234,3nox,8.66
3235,3u8k,8.66
3236,2qd6,8.68
3237,2q55,8.69
3238,1bcd,8.70
3239,1g4j,8.70
3240,1hfs,8.70
3241,1jgl,8.70
3242,1jyq,8.70
3243,1lnm,8.70
3244,1ohr,8.70
3245,1pxo,8.70
3246,1t7j,8.70
3247,1w13,8.70
3248,1xap,8.70
3249,2b7d,8.70
3250,2f8g,8.70
3251,2fmb,8.70
3252,2h4n,8.70
3253,2jh0,8.70
3254,2ojj,8.70
3255,2pcp,8.70
3256,2uwo,8.70
3257,2vj8,8.70
3258,2wgj,8.70
3259,2wyg,8.70
3260,2y5f,8.70
3261,2y7z,8.70
3262,2y81,8.70
3263,3brn,8.70
3264,3d9z,8.70
3265,3eqr,8.70
3266,3ge7,8.70
3267,3hvj,8.70
3268,3i5z,8.70
3269,3i60,8.70
3270,3s73,8.70
3271,4a7i,8.70
3272,4bah,8.70
3273,4eo6,8.70
3274,4hy1,8.70
3275,4r5a,8.70
3276,3ckz,8.72
3277,3p8o,8.72
3278,3ts4,8.72
3279,4ish,8.72
3280,4ivb,8.72
3281,1b6k,8.74
3282,1mjj,8.74
3283,1sdv,8.74
3284,2vkm,8.74
3285,2wtv,8.74
3286,3rz1,8.74
3287,4ei4,8.74
3288,4gii,8.74
3289,1bnv,8.77
3290,1d4l,8.77
3291,1qft,8.77
3292,1x38,8.77
3293,1zp8,8.77
3294,2wkz,8.77
3295,3b5r,8.77
3296,3qdd,8.77
3297,4e4l,8.77
3298,4m0f,8.77
3299,1fkn,8.80
3300,1g46,8.80
3301,1w5w,8.80
3302,3d1z,8.80
3303,3oaf,8.80
3304,3rt4,8.80
3305,1ork,8.81
3306,1g54,8.82
3307,1m0b,8.82
3308,2zcq,8.82
3309,2zxg,8.82
3310,3fvk,8.82
3311,3nu4,8.82
3312,4i5c,8.82
3313,4ks1,8.82
3314,1lhu,8.83
3315,3mxd,8.83
3316,1d4i,8.85
3317,2avo,8.85
3318,2obf,8.85
3319,3b67,8.85
3320,3e93,8.85
3321,4gj3,8.85
3322,2xej,8.87
3323,1n3i,8.89
3324,1nfy,8.89
3325,1nt1,8.89
3326,2idw,8.89
3327,2y7x,8.89
3328,3ekp,8.89
3329,3vhc,8.89
3330,3zze,8.89
3331,3egt,8.90
3332,4bak,8.91
3333,1ec1,8.92
3334,1kzn,8.92
3335,1r1h,8.92
3336,3k37,8.92
3337,4e6d,8.92
3338,4heg,8.92
3339,4bam,8.94
3340,1j37,8.96
3341,1nfw,8.96
3342,2p4j,8.96
3343,3dcc,8.96
3344,3i9g,8.96
3345,3rz7,8.96
3346,3v5p,8.96
3347,4ag8,8.96
3348,4k18,8.96
3349,1apv,9.00
3350,1e3g,9.00
3351,1fm9,9.00
3352,1k27,9.00
3353,1mq5,9.00
3354,1mu8,9.00
3355,1y0l,9.00
3356,2j4i,9.00
3357,2p4y,9.00
3358,2wyj,9.00
3359,3dd0,9.00
3360,3jrx,9.00
3361,3nw9,9.00
3362,3u6h,9.00
3363,3u6i,9.00
3364,3ui7,9.00
3365,3uri,9.00
3366,4c2v,9.00
3367,4h3f,9.00
3368,2q54,9.01
3369,4baq,9.01
3370,4jh0,9.03
3371,1ec3,9.04
3372,1g53,9.04
3373,1qkt,9.04
3374,3m37,9.04
3375,3vfb,9.04
3376,1ebw,9.05
3377,1ezq,9.05
3378,1kdk,9.05
3379,1s63,9.05
3380,3hb4,9.05
3381,3nu9,9.05
3382,4e4n,9.05
3383,4i72,9.05
3384,1nw4,9.07
3385,2qd8,9.07
3386,3gba,9.07
3387,4cmo,9.07
3388,1bnw,9.08
3389,2rkf,9.08
3390,3a2o,9.08
3391,3ffg,9.08
3392,3sue,9.08
3393,1d3d,9.09
3394,1msn,9.09
3395,2v58,9.09
3396,2w8y,9.09
3397,1h22,9.10
3398,2qd7,9.10
3399,3gnw,9.10
3400,3lea,9.10
3401,3lpk,9.10
3402,3mdz,9.10
3403,3o56,9.10
3404,3pwm,9.10
3405,3vf7,9.10
3406,4az6,9.10
3407,4hws,9.10
3408,1d9i,9.11
3409,3ttp,9.12
3410,1ta6,9.13
3411,2wb5,9.13
3412,3su3,9.13
3413,2qmg,9.15
3414,2xjx,9.15
3415,3d91,9.15
3416,3ibu,9.15
3417,4clj,9.15
3418,4p6w,9.15
3419,8cpa,9.15
3420,1z71,9.18
3421,2fgu,9.18
3422,2xb7,9.19
3423,2xy9,9.19
3424,3ozg,9.19
3425,3vfa,9.19
3426,1mh5,9.21
3427,1sqa,9.21
3428,1d4k,9.22
3429,1fcz,9.22
3430,1hpo,9.22
3431,1hps,9.22
3432,1hpv,9.22
3433,1uho,9.22
3434,1x39,9.22
3435,1zvx,9.22
3436,2cer,9.22
3437,2o4l,9.22
3438,3rwp,9.22
3439,4jia,9.22
3440,4dv8,9.24
3441,3zlr,9.26
3442,1sdt,9.27
3443,2xab,9.27
3444,3b65,9.27
3445,3nzk,9.27
3446,1xow,9.28
3447,3kdc,9.28
3448,3p8n,9.28
3449,3rux,9.28
3450,3vhd,9.28
3451,4asd,9.28
3452,4n6h,9.28
3453,2ayr,9.29
3454,2iw4,9.30
3455,2yxj,9.30
3456,3fv1,9.30
3457,3nu6,9.30
3458,4er2,9.30
3459,4qge,9.30
3460,1bn4,9.31
3461,3rdq,9.31
3462,2aqu,9.32
3463,3wha,9.32
3464,1bn1,9.34
3465,3vf5,9.34
3466,2e27,9.35
3467,2p95,9.37
3468,3nuj,9.39
3469,4ca5,9.39
3470,1ebz,9.40
3471,1fkf,9.40
3472,1ksn,9.40
3473,1met,9.40
3474,1pme,9.40
3475,2o4r,9.40
3476,2w26,9.40
3477,4a4q,9.40
3478,4erf,9.40
3479,4qac,9.40
3480,3ekv,9.41
3481,3ekx,9.41
3482,1hsh,9.42
3483,3bgs,9.42
3484,3rbu,9.43
3485,1g1d,9.44
3486,4mc9,9.44
3487,2yki,9.46
3488,4b7p,9.46
3489,1qbs,9.47
3490,1xjd,9.48
3491,1bnq,9.49
3492,1hvr,9.51
3493,1s19,9.51
3494,2p4s,9.51
3495,1m4h,9.52
3496,2ax9,9.52
3497,2bys,9.52
3498,2g94,9.52
3499,2gvj,9.52
3500,2hoc,9.52
3501,3fv3,9.52
3502,3g0w,9.52
3503,3g5k,9.52
3504,4ivd,9.52
3505,4ty7,9.52
3506,1g52,9.54
3507,2pog,9.54
3508,3ppm,9.54
3509,1dmp,9.55
3510,1ws1,9.55
3511,4gr0,9.55
3512,1i37,9.57
3513,1o86,9.57
3514,2z4o,9.57
3515,4ax9,9.57
3516,4gql,9.59
3517,4mc6,9.59
3518,4gqp,9.60
3519,3s56,9.62
3520,1if8,9.64
3521,2zx8,9.64
3522,3el1,9.64
3523,3s54,9.64
3524,4b7r,9.64
3525,3pe1,9.65
3526,3dp9,9.68
3527,1bnu,9.70
3528,1df8,9.70
3529,1eby,9.70
3530,1fkb,9.70
3531,1mrw,9.70
3532,2vh6,9.70
3533,3sm2,9.70
3534,4cd0,9.70
3535,4fk6,9.70
3536,1z6e,9.72
3537,3fuc,9.72
3538,1nh0,9.74
3539,3dk1,9.74
3540,3p3g,9.74
3541,3pe2,9.76
3542,3ggu,9.77
3543,456c,9.77
3544,1bnt,9.80
3545,3lxk,9.80
3546,3nuo,9.80
3547,1pvn,9.82
3548,3m36,9.82
3549,3nu3,9.82
3550,4eb8,9.82
3551,2xef,9.84
3552,2std,9.85
3553,3kdb,9.85
3554,3rdo,9.85
3555,1bn3,9.89
3556,1e66,9.89
3557,2drc,9.89
3558,1hxb,9.92
3559,1zsf,9.92
3560,2vnp,9.92
3561,3ies,9.92
3562,3rlb,9.92
3563,1hvl,9.95
3564,1bv9,9.96
3565,1fjs,9.96
3566,2xmy,9.96
3567,4m8y,9.96
3568,1bnn,10.00
3569,1bxo,10.00
3570,1d4h,10.00
3571,1ec2,10.00
3572,1flr,10.00
3573,1gar,10.00
3574,1igj,10.00
3575,1rjk,10.00
3576,3h5b,10.00
3577,4ivc,10.00
3578,4lhv,10.00
3579,3mxe,10.01
3580,1n4k,10.05
3581,1nm6,10.05
3582,3lzu,10.06
3583,1sdu,10.07
3584,1sr7,10.10
3585,2o4j,10.10
3586,2p16,10.10
3587,1y6r,10.11
3588,4f3k,10.16
3589,3ps1,10.17
3590,3u8n,10.17
3591,4tmn,10.17
3592,4ggz,10.18
3593,1ie9,10.19
3594,2qi3,10.20
3595,4m8x,10.20
3596,2qi7,10.21
3597,3t3c,10.23
3598,1qbu,10.24
3599,1rr6,10.25
3600,1bv7,10.30
3601,1c70,10.30
3602,1hvs,10.30
3603,2p15,10.30
3604,4djq,10.32
3605,4std,10.33
3606,3i6o,10.35
3607,4ngm,10.35
3608,4lvt,10.36
3609,1c4u,10.37
3610,1kzk,10.39
3611,4wt2,10.42
3612,2qi4,10.44
3613,4ffs,10.44
3614,2o4k,10.46
3615,1msm,10.48
3616,2zx7,10.49
3617,5std,10.49
3618,2o4s,10.51
3619,1b8n,10.52
3620,1if7,10.52
3621,1n46,10.52
3622,2f81,10.52
3623,1g2o,10.55
3624,4djp,10.55
3625,1qbr,10.57
3626,2qi6,10.57
3627,3djk,10.59
3628,3ekt,10.59
3629,2zx6,10.60
3630,1qbt,10.62
3631,2xei,10.62
3632,4lch,10.62
3633,1b8o,10.64
3634,1dif,10.66
3635,3cs7,10.68
3636,2pk5,10.70
3637,2wva,10.70
3638,2xeg,10.70
3639,3myg,10.70
3640,3o9a,10.70
3641,4agc,10.70
3642,2o4p,10.72
3643,3o9d,10.72
3644,7std,10.72
3645,4gid,10.77
3646,4omc,10.78
3647,3gi4,10.80
3648,4hla,10.80
3649,1hxw,10.82
3650,3o99,10.82
3651,2qi5,10.85
3652,3i7e,10.85
3653,2pk6,10.89
3654,4i8w,10.90
3655,1hvi,10.92
3656,3utu,10.92
3657,1hvk,10.96
3658,1m7y,10.96
3659,3lzs,10.96
3660,4ase,11.00
3661,4kb9,11.00
3662,1q84,11.05
3663,4i8z,11.05
3664,1x1z,11.06
3665,3k8o,11.07
3666,1d4y,11.10
3667,3std,11.11
3668,1mq6,11.15
3669,2i4v,11.20
3670,3gi5,11.22
3671,3gi6,11.22
3672,3ok9,11.23
3673,4u8w,11.24
3674,1hpx,11.26
3675,3k8q,11.28
3676,1pro,11.30
3677,2q5k,11.30
